"","order","family","genus","species","adultbodymass","adultforearmlen","adultheadbodylen","basalmetrate","basalmetratemass","dietbreadth","homerange","terrestriality","weaningage"
"Amblysomus_corriae","Afrosoricida","Chrysochloridae","Amblysomus","corriae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amblysomus_hottentotus","Afrosoricida","Chrysochloridae","Amblysomus","hottentotus",4.13676527810605,NA,4.79983195486665,4.43911560165801,4.24849524204936,2,0.000334,1,NA
"Amblysomus_marleyi","Afrosoricida","Chrysochloridae","Amblysomus","marleyi",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amblysomus_robustus","Afrosoricida","Chrysochloridae","Amblysomus","robustus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amblysomus_septentrionalis","Afrosoricida","Chrysochloridae","Amblysomus","septentrionalis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calcochloris_leucorhinus","Afrosoricida","Chrysochloridae","Calcochloris","leucorhinus",NA,NA,NA,NA,NA,1,NA,NA,NA
"Calcochloris_obtusirostris","Afrosoricida","Chrysochloridae","Calcochloris","obtusirostris",3.18013499655177,NA,4.61353510231972,NA,NA,1,NA,1,NA
"Calcochloris_tytonis","Afrosoricida","Chrysochloridae","Calcochloris","tytonis",NA,NA,NA,NA,NA,1,NA,NA,NA
"Carpitalpa_arendsi","Afrosoricida","Chrysochloridae","Carpitalpa","arendsi",3.957760897102,NA,4.81842500455193,NA,NA,1,NA,1,NA
"Chlorotalpa_duthieae","Afrosoricida","Chrysochloridae","Chlorotalpa","duthieae",NA,NA,4.60856441905611,NA,NA,1,NA,NA,NA
"Chlorotalpa_sclateri","Afrosoricida","Chrysochloridae","Chlorotalpa","sclateri",3.6454498961866,NA,4.60517018598809,NA,NA,1,NA,NA,NA
"Chrysochloris_asiatica","Afrosoricida","Chrysochloridae","Chrysochloris","asiatica",3.61523291394564,NA,4.66814498514948,3.70868208141012,3.52636052461616,2,NA,1,74.43
"Chrysochloris_stuhlmanni","Afrosoricida","Chrysochloridae","Chrysochloris","stuhlmanni",4.02105676645227,NA,4.86089708719832,NA,NA,1,NA,1,70.72
"Chrysochloris_visagiei","Afrosoricida","Chrysochloridae","Chrysochloris","visagiei",NA,NA,4.66343909411207,NA,NA,1,NA,NA,NA
"Chrysospalax_trevelyani","Afrosoricida","Chrysochloridae","Chrysospalax","trevelyani",6.07313669575201,NA,5.45933016239574,NA,NA,2,0.000603,1,NA
"Chrysospalax_villosus","Afrosoricida","Chrysochloridae","Chrysospalax","villosus",4.68536672798237,NA,5.01063529409626,NA,NA,1,NA,1,NA
"Cryptochloris_wintoni","Afrosoricida","Chrysochloridae","Cryptochloris","wintoni",NA,NA,4.49969855304586,NA,NA,2,NA,1,NA
"Cryptochloris_zyli","Afrosoricida","Chrysochloridae","Cryptochloris","zyli",NA,NA,4.44088499168024,NA,NA,1,NA,1,NA
"Echinops_telfairi","Afrosoricida","Tenrecidae","Echinops","telfairi",5.02552390659001,NA,5.07517381523383,4.8967944776725,4.75703253529734,1,NA,2,31.18
"Eremitalpa_granti","Afrosoricida","Chrysochloridae","Eremitalpa","granti",3.09285898428471,NA,4.3309964635611,2.73371794785079,3.26193531432865,3,0.03,1,NA
"Geogale_aurita","Afrosoricida","Tenrecidae","Geogale","aurita",1.90061387414014,NA,4.26267987704132,2.04381436403668,1.93152141160321,1,NA,1,34.86
"Hemicentetes_nigriceps","Afrosoricida","Tenrecidae","Hemicentetes","nigriceps",4.63463189613771,NA,NA,4.28289666876669,4.62399194022868,1,NA,NA,22.71
"Hemicentetes_semispinosus","Afrosoricida","Tenrecidae","Hemicentetes","semispinosus",4.89783979995091,NA,5.16478597392351,4.16044436392662,4.89034912822175,1,NA,1,21.5
"Limnogale_mergulus","Afrosoricida","Tenrecidae","Limnogale","mergulus",4.3419855851367,NA,4.9766647745251,4.28096243218686,4.3528552573736,2,NA,1,NA
