"Acanthalosia","Ambikella","Anemonaria","Anidanthus","Aperispirifer","?Aphanaia","?Arctitreta","Atomodesma","Attenuatella","Bicarinella","Bransonia","Calcicanicularia","Capillonia","Cleiothyridina","?Cleiothyridina","Coledium","Collabrina","?Composita","Costatumulus","Cyrtella","Cyrtorostra","Deltopecten","Echinalosia","Echinorbis","Elimata","Etheripecten","?Etheripecten","Eurydesma","Filiconcha","Fusispirifer","Geothomasia","Gondaconularia","Guizhoupecten","?Hoskingia","Ingelarella","Kaibabella","Lethamia","Lipanteris","Magniplicatina","Maorielasma","Marinurnula","Megasteges","Megousia","Mesopunctia","Myofossa","Myonia","Neospirifer","Notoconularia","Notospirifer","Notostrophia","?Notostrophia","Oblicarina","Orbiculoidea","Papulinella","Paraconularia","Parallelodon","Paraplatyschisma","Paucispinauria","Permasyrinx","Peruvispira","Plagioglypta","Platyteichum","Plekonella","Pleurocinctosa","Promytilus","Pustuloplica","Pustulospiriferina","Saetosina","?Schuchertella","Sedecularia","Spinomartinia","Spiraculinella","Spiriferellina","?Spiriferellina","Squamuliferipecten","Streblopteria","Striochondria","Stutchburia","Sulciplica","Svalbardia","Syrella","Tabellina","Taeniothaerus","?Taeniothaerus","Terrakea","Tigillumia","Tomiopsis","Trigonotreta","Vacunella","Volsellina"
"F1c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"F2c",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,1,0,0,0,0,105,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,9,0,0,1,0,0,2,0,0
"F3c",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,5,2,0,0,1,0,2,0,0,0,0,0,0,9,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,3,0,0,0,0,40,0,0,0,0,2,0,0,1,0,2,1,0,0,0,0,8,0,17,0,0,15,0,0,3,0,0
"F4c",0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,2,2,0,0,8,0,4,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,42,0,0,0,0,0,0,475,0,0,0,0,0,0,0,3,0,5,0,5,0,0,0,73,0,17,0,0,114,0,0,8,0,0
"F5c",0,19,0,8,0,0,0,0,0,0,2,0,0,1,0,0,39,0,0,0,0,2,8,0,0,3,0,1,0,0,0,0,0,0,6,0,0,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,32,0,7,0,2,0,0,548,0,0,0,0,0,0,0,8,0,1,2,2,0,0,0,38,0,19,0,0,153,0,0,53,0,0
"F6c",0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,1,0,0
"F7c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"F8c",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,32,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"F9c",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"F10c",0,9,0,1,0,0,0,0,0,0,1,0,0,0,0,0,38,0,0,0,0,0,3,0,0,7,0,5,0,0,0,0,0,0,4,0,0,14,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,43,0,1,0,0,0,0,4507,1,0,0,0,2,0,0,14,0,5,1,3,0,0,0,6,0,41,0,0,33,0,0,15,0,0
"F11c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"F12c",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,140,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0
"F13c",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,2,0,0,0,3,0,2,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,76,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,23,0,0,4,0,0
"F14c",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,95,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,1,0,0,27,0,0,2,0,0
"D1os",0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D2os",0,0,632,5,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,10,8,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,10,0,0
"D3os",0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0
"D4os",0,0,54,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
"D5os",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,11,0,2,1,0,0
"D1m",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D2m",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
