45 & Drexel,1,1,63
54 pl & Woodlawn,1,1,59
53rd & Dorchester,3,1,58
5201 S Woodlawn,4,1,71
54th & Harper,4,1,58
52nd & Kimbark,4,0,58
53rd & Kenwood,1,1,58
Ingleside & 52nd,4,1,60
5464 S Everett,5,1,50
51st and Woodlawn,2,1,59.6666666667
2011 N Kenmore Ave,2,0,52
18th pl & Leavitt,2,0,70.5
51st and Greenwood,3,1,58
1847 S Loomis St.,5,1,49
52nd and Greenwood,2,1,49
5300 S Shore Dr,6,1,51
5550 S Dorchester,1,1,48
450 N Austin Blvd Oak Park,3,0,58
55th and Ellis,2,1,71
50th Pl and S. Cornell,3,1,3
55th and S Harper,1,1,51
56th & Blackstone,3,1,51
Kimbark & 52nd,1,1,71
55th and Blackstone,2,1,61
Harper and 54th,5,1,61
Cornell and 50th,4,1,3
Kimbark and 52nd,4,1,58
51st and Kimbark,5,1,71
Noble and W. Walton,4,0,66
55th and S Everett Ave,1,1,48.5
5050 S Lake Shore Dr,3,1,3
52nd and Kenwood,2,1,64.5
1453 E 54th Place,1,1,61
1837 W Patterson Ave,6,0,52
5482 S Greenwood,3,1,71
5114 S Greenwood,6,1,48
