Timestamp	What year are you?	What pets DO YOU HAVE RIGHT NOW? This is the extant question.	What pets HAVE YOU HAD in the past? This is the extirpated question. Sorry for your loss.	In a perfect world what pets do you WANT? This is the expected question. Don't let 'laws' or 'practicality' constrain you.	If you have a cat is it from Hyde Park Cats?	Comments? Care to explain why you want 20 parakeets? Hmmmm?
10/20/2015 12:51:08	1st year	No	cat, cat, cat, mouse, dog, dog	cat, dog, roomba	No	
10/20/2015 12:52:06	senior grad student'	dog	cat, bunny, bunny, gerbil, gerbil, gerbil, mouse, mouse, mouse, canary, hermit crab, hermit crab, iguana, newt, newt, xenopus, xenopus, xenopus, tetra, tetra, guinea pig, bunny, goldfish, goldfish, goldfish	dog, catbus	N/A	
10/20/2015 12:54:07	2nd year	cat, cat	parakeet, parakeet, parakeet, cat, cat, cat, cat, cat, cat, cat, dog	human, human, human, human, human, leopard, human	No	
10/20/2015 12:54:33	4th year	none	none	rock	N/A	I just want the outgroup to be rocks.
10/20/2015 12:55:44	4th year	cat, cat, snail species, snail species, snail species	cat, cat, turtle, fish	nudibranch, cuttlefish, cat, manatee, coral	Yes	I want a big-ass saltwater tank with all the weird Lovecraftian invertebrates in it. 
10/20/2015 12:55:45	3rd year	Dog	Dog, dog, dog, dog, dog, dog, dog, cat, dog, dog, dog	Dog	N/A	
10/20/2015 12:56:27	1st year	none	Cats, dogs, rabbit	sugar gilder, sugar glider, flemish giant, dog, elephant	N/A	
10/20/2015 12:57:50	senior grad student'	Tupinambis_merianae,Tupinambis_rufescens,dragonfly,Neurergus_crocatus,Canis_domesticus,Hydra,Gastropoda,Glass shrimp,goldfish,copepods,Daphnia	Turtle,turtle,turtle,turtle,turtle,cat,cat,cat,cat,cat,cat,cat,cat,cat,cat,cat,chameleon,chameleon,gecko,iguana	Water monitor,falcon,golden eagle	No	I've been culturing the shit out of my freshwater newt tanks. A bustling ecosystem of all many of invertebrates now exists in it, and I work hard to maintain then so they TOTALLY COUNT AS PETS.  Also I'm not 100% certain how I got this email, but whatevs! 
10/20/2015 12:59:40	2nd year	cat	dog,cat,fish,fish	horse,hedgehog,ants,platypus,pig	No	
10/20/2015 12:59:53	2nd year	dog	dog, dog, fish, hampster, cat, cat, cat, 	dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, alien	No	I would like for the Airedale to become the dominant dog breed on Planet Earth. 
10/20/2015 13:00:55	senior grad student'	canary	cat, cat, cat, hermit crab, beta fish, sensitive plant, sourdough culture, praying mantis, praying mantis, hamster	border collie, chicken, chicken, chicken, chicken, queen bee, bee, bee, bees, bee, beehive, goat, goat, duck, duck	No	Please imagine that I listed bee approximately 199,995 more times.  Unless you just count the queen bee.  Also I would like ducks that just stay ducklings forever.  Because http://www.huffingtonpost.com/2013/10/25/baby-duck-slide-_n_4163783.html
10/20/2015 13:01:15	senior grad student'	dog, cat, cat, tiny_human	cat, cat, cat, cat, cat, cat, cat, cat, cat, cat, cat, dog, dog, dog, horse, horse, horse, horse, horse, goldfish, goldfish, goldfish, goldfish	horse, dog, cat, cat	No	Great TG idea. Pets are the best. I miss your face, Courtney!  When you make me write it out, it becomes apparent that my childhood home was a risky place for cats. Gotta be tough in the Maine woods. 
10/20/2015 13:01:27	1st year	none	dog,dog,lizard,dog	dog	N/A	
10/20/2015 13:01:47	1st year	Cat, cat	frog, frog, frog, frog, frog, frog, caterpillar, caterpillar, caterpillar, caterpillar, caterpillar, caterpillar, caterpillar, snail, snail, snail, snail, snail, snail, snail, snail, snail, American robin, earthworm, grasshopper, grasshopper, dog, dog	grey wolf, donkey, axolotl, tardigrade, tardigrade, tardigrade, tardigrade, tree kangaroo, sea dragon, polar bear, peregrine falcon, assassin bug	Yes	conquer all of the habitats with my fleet of pets
10/20/2015 13:02:01	1st year	Cat	dog, guinea pig, cat, dog, cat, cat, rabbit, rabbit, salamander, salamander, salamander, sun conure, sun conure, sugar glider, cat, cat, dog, dog, dog, cat 	Llama, Llama, Llama, Penguin	No	
10/20/2015 13:02:25	3rd year	none	Anolis,anolis,frog,dog	none	N/A	
10/20/2015 13:02:40	2nd year	cat, compost worm, compost worm, compost worm, compost worm, compost worm, compost worm, compost worm, compost worm, compost worm,compost worm,compost worm,	cat, dog, cat, fish, iguana, bearded dragon, bearded dragon, caterpillar, caterpillar, caterpillar, caterpillar, caterpillar, caterpillar, snail	axolotl, seahorse, jaguar cub, armadillo, hedgehog, miniature donkey, catfish, duckling	No	http://southerncrossreview.org/73/axolotl.html
10/20/2015 13:05:06	1st year	cat,bird,bird	cat,bird,bird,hamster,gerbil,gerbil,fish	dog,horse	No	https://images.duckduckgo.com/iu/?u=http%3A%2F%2Fmedia.giphy.com%2Fmedia%2FbPqlZeGsx8U9y%2Fgiphy.gif&f=1
10/20/2015 13:05:18	5th year	dog	dog, dog, dog, dog, cat, cat, cat, cat, dog, dog	dog, tui	N/A	when i reach retire ready age i want to return to new zealand and establish a wildlife sanctuary for native birds. this would require putting up anti-introduced predator fencing and management traps, native flora planting and introduced flora extirpation, and perhaps even releasing of native birds if they're not locally available. the goal would be to establish a safe haven for native new zealand wildlife that could serve as a donor stock for the surrounding areas. 
10/20/2015 13:07:13	2nd year	Box tortoise	Hedgehog, box tortoise	Capybara, coatimundi	N/A	I've had my current box tortoise (Speedy) since I was 10, and he's still going strong :D
