student	entry	year	speciesname	actualspecies	timestatus
1	cat	1styear	Felis catus	y	past
1	cat	1styear	Felis catus	y	past
1	cat	1styear	Felis catus	y	past
1	mouse	1styear	Mus musculus	y	past
1	dog	1styear	Canis lupus familiaris	y	past
1	dog	1styear	Canis lupus familiaris	y	past
2	cat	seniorgradstudent	Felis catus	y	past
2	bunny	seniorgradstudent	Oryctolagus cuniculus	y	past
2	bunny	seniorgradstudent	Oryctolagus cuniculus	y	past
2	gerbil	seniorgradstudent	Pachyuromys duprasi	y	past
2	gerbil	seniorgradstudent	Pachyuromys duprasi	y	past
2	gerbil	seniorgradstudent	Pachyuromys duprasi	y	past
2	mouse	seniorgradstudent	Mus musculus	y	past
2	mouse	seniorgradstudent	Mus musculus	y	past
2	mouse	seniorgradstudent	Mus musculus	y	past
2	canary	seniorgradstudent	Serinus canaria domestica	y	past
2	hermitcrab	seniorgradstudent	Coenobita clypeatus	y	past
2	hermitcrab	seniorgradstudent	Coenobita clypeatus	y	past
2	iguana	seniorgradstudent	Iguana iguana	y	past
2	newt	seniorgradstudent	Notophthalmus viridescens	y	past
2	newt	seniorgradstudent	Notophthalmus viridescens	y	past
2	xenopus	seniorgradstudent	Xenopus laevis	y	past
2	xenopus	seniorgradstudent	Xenopus laevis	y	past
2	xenopus	seniorgradstudent	Xenopus laevis	y	past
2	tetra	seniorgradstudent	Paracheirodon innesi	y	past
2	tetra	seniorgradstudent	Paracheirodon innesi	y	past
2	guineapig	seniorgradstudent	Cavia porcellus	y	past
2	bunny	seniorgradstudent	Oryctolagus cuniculus	y	past
2	goldfish	seniorgradstudent	Carassius auratus	y	past
2	goldfish	seniorgradstudent	Carassius auratus	y	past
2	goldfish	seniorgradstudent	Carassius auratus	y	past
3	parakeet	2ndyear	Melopsittacus undulatus	y	past
3	parakeet	2ndyear	Melopsittacus undulatus	y	past
3	parakeet	2ndyear	Melopsittacus undulatus	y	past
3	cat	2ndyear	Felis catus	y	past
3	cat	2ndyear	Felis catus	y	past
3	cat	2ndyear	Felis catus	y	past
3	cat	2ndyear	Felis catus	y	past
3	cat	2ndyear	Felis catus	y	past
3	cat	2ndyear	Felis catus	y	past
3	cat	2ndyear	Felis catus	y	past
3	dog	2ndyear	Canis lupus familiaris	y	past
4	none	4thyear	none	n	past
5	cat	4thyear	Felis catus	y	past
5	cat	4thyear	Felis catus	y	past
5	turtle	4thyear	Trachemys scripta 	y	past
5	fish	4thyear	Carassius auratus	y	past
6	dog	3rdyear	Canis lupus familiaris	y	past
6	dog	3rdyear	Canis lupus familiaris	y	past
6	dog	3rdyear	Canis lupus familiaris	y	past
6	dog	3rdyear	Canis lupus familiaris	y	past
6	dog	3rdyear	Canis lupus familiaris	y	past
6	dog	3rdyear	Canis lupus familiaris	y	past
6	dog	3rdyear	Canis lupus familiaris	y	past
6	cat	3rdyear	Felis catus	y	past
6	dog	3rdyear	Canis lupus familiaris	y	past
6	dog	3rdyear	Canis lupus familiaris	y	past
6	dog	3rdyear	Canis lupus familiaris	y	past
7	cats	1styear	Felis catus	y	past
7	dogs	1styear	Canis lupus familiaris	y	past
7	rabbit	1styear	Oryctolagus cuniculus	y	past
8	turtle	seniorgradstudent	Trachemys scripta 	y	past
8	turtle	seniorgradstudent	Trachemys scripta 	y	past
8	turtle	seniorgradstudent	Trachemys scripta 	y	past
8	turtle	seniorgradstudent	Trachemys scripta 	y	past
8	turtle	seniorgradstudent	Trachemys scripta 	y	past
8	cat	seniorgradstudent	Felis catus	y	past
8	cat	seniorgradstudent	Felis catus	y	past
8	cat	seniorgradstudent	Felis catus	y	past
